text,label,source
last chance to get wireless earbuds FREE Claim before it's gone!,spam,original
No offense but you are utterly  stupid You always mess everything up.,toxic,original
Limited time offer! Buy now and get 50% discount on all items!,spam,original
claim your FREE tablet now! Claim before it's gone! — reply YES to claim,spam,original
FastAPI keeps surprising me with new depths Thanks in advance!,safe,original
claim your FREE camera now! Offer expires today! — no credit card required,spam,original
No offense but that was utterly  pathetic and sad Do everyone a favor and be quiet.,toxic,original
you've been selected for a FREE drone 100% guaranteed!!! (sent from a verified winner account),spam,original
get a 90% discount on tablet Click the link to claim!,spam,original
Can someone explain time management to me? Looking forward to your reply.,safe,original
you are genuinely  worthless I have no respect for you.,toxic,original
get a 90% discount on camera Act now! — free shipping worldwide,spam,original
win a FREE iPhone! Don't miss out!!! (sent from a verified winner account),spam,original
exclusive deal: iPhone for 95% OFF Click here NOW!!! (sent from a verified winner account),spam,original
last chance to get gaming chair FREE Don't miss out!!! — free shipping worldwide,spam,original
buy camera for just $1.99 Act now!,spam,original
win a FREE wireless earbuds!,spam,original
Finally understood Kubernetes after weeks of struggling Looking forward to your reply.,safe,original
Just read a great article about chess Thanks in advance!,safe,original
"Hey, nice to see you here",safe,original
cooking pasta keeps surprising me with new depths Have a good one!,safe,original
"you've been selected for a FREE iPhone Hurry, only 3 left! (sent from a verified winner account)",spam,original
last chance to get laptop FREE Limited time offer!,spam,original
win a FREE Netflix account! Claim before it's gone! — free shipping worldwide,spam,original
exclusive deal: iPhone for 95% OFF Limited time offer! — click bit.ly link,spam,original
camera giveaway — you are the lucky winner! — free shipping worldwide,spam,original
"Honestly, you are absolutely  pathetic Go away.",toxic,original
Does anyone have experience with public speaking? (genuinely asking),safe,original
Any advice on hiking? Cheers!,safe,original
No offense but your opinion is absolutely  worthless trash Do everyone a favor and be quiet.,toxic,original
No offense but you sound utterly  ridiculous Nobody asked you.,toxic,original
Does anyone have experience with system design? Have a good one!,safe,original
"win a FREE camera! Hurry, only 3 left!",spam,original
Could you help me with photography? Looking forward to your reply.,safe,original
exclusive deal: wireless earbuds for 95% OFF Act now! — free shipping worldwide,spam,original
No offense but you are absolutely  worthless I have no respect for you.,toxic,original
"buy drone for just $1.99 Hurry, only 3 left! — reply YES to claim",spam,original
you've been selected for a FREE crypto course 100% guaranteed!!! (sent from a verified winner account),spam,original
win a FREE Netflix account! Limited time offer! — free shipping worldwide,spam,original
claim your FREE crypto course now! Click the link to claim! — click bit.ly link,spam,original
"Look, nobody likes you, genuinely  loser Nobody asked you.",toxic,original
"To be frank, nobody likes you, utterly  loser Go away.",toxic,original
Could you help me with time management? Would love to hear your thoughts.,safe,original
"Slowly getting better at cooking pasta, one day at a time Thanks in advance!",safe,original
claim your FREE Amazon gift card now! Claim before it's gone! — free shipping worldwide,spam,original
Our team shipped a new unit testing feature yesterday,safe,original
"Working on Python this week, it's challenging but fun",safe,original
win a FREE gaming chair! Offer expires today! (sent from a verified winner account),spam,original
"Working on cooking pasta this week, it's challenging but fun Thanks in advance!",safe,original
get a 90% discount on smart watch Offer expires today! (sent from a verified winner account),spam,original
No offense but you sound  ridiculous Nobody asked you.,toxic,original
"Look, you are absolutely  clueless Stop talking.",toxic,original
you sound absolutely  ridiculous Get lost.,toxic,original
"Look, that was totally  pathetic and sad Nobody asked you.",toxic,original
your work is absolutely  garbage,toxic,original
Our team shipped a new Kubernetes feature yesterday Any input is welcome.,safe,original
"To be frank, your work is absolutely  garbage",toxic,original
Any advice on machine learning? Any input is welcome.,safe,original
Exclusive promotion just for you! Click to unlock your special bonus!,spam,original
get a 90% discount on Netflix account Offer expires today! — reply YES to claim,spam,original
"Hello friend, I have a business proposal worth millions. Reply urgently.",spam,original
win a FREE drone! Click the link to claim! — no credit card required,spam,original
"I'm curious about chess — no rush, whenever you have time",safe,original
Does anyone have experience with cooking pasta?,safe,original
I'm curious about cooking pasta Any input is welcome.,safe,original
Has anyone tried the new restaurant downtown? I heard it's good.,safe,original
wireless earbuds giveaway — you are the lucky winner! Act now! — reply YES to claim,spam,original
Can someone explain Python to me? Have a good one!,safe,original
drone giveaway — you are the lucky winner! Click here NOW!!! (sent from a verified winner account),spam,original
"Look, you clearly have genuinely  zero brains",toxic,original
Earn passive income from home! Click here for free guide!,spam,original
I can't stand you. You're a miserable waste of space.,toxic,original
get a 90% discount on Samsung TV Offer expires today! — click bit.ly link,spam,original
Our team shipped a new open source contributions feature yesterday (genuinely asking),safe,original
"Seriously, nobody likes you, genuinely  loser",toxic,original
Can someone explain Docker to me? Looking forward to your reply.,safe,original
You are a stupid idiot and nobody likes you,toxic,original
"Honestly, your opinion is absolutely  worthless trash Nobody asked you.",toxic,original
Where can I find good resources on Docker? Thanks in advance!,safe,original
"Sharing my notes on chess, hope they help someone",safe,original
No offense but you sound genuinely  ridiculous I have no respect for you.,toxic,original
"nobody likes you,  loser",toxic,original
"Look, nobody likes you, utterly  loser I have no respect for you.",toxic,original
Is cooking pasta worth learning this year? Cheers!,safe,original
exclusive deal: PlayStation 5 for 95% OFF — free shipping worldwide,spam,original
you are  worthless Stop talking.,toxic,original
win a FREE Amazon gift card! Claim before it's gone! — click bit.ly link,spam,original
"Look, you are  stupid Do everyone a favor and be quiet.",toxic,original
No offense but you are completely  worthless You always mess everything up.,toxic,original
Does anyone have experience with machine learning? Have a good one!,safe,original
I'm curious about cooking pasta,safe,original
I genuinely hate people like you. Absolute garbage human being.,toxic,original
you've been selected for a FREE gaming chair Limited time offer! — reply YES to claim,spam,original
Any advice on photography? Cheers!,safe,original
I've been practicing time management for three months now Thanks in advance!,safe,original
Any advice on TypeScript? Looking forward to your reply.,safe,original
No offense but get a life and stop posting here Seriously.,toxic,augmented:toxic
"To be frank, that was genuinely  pathetic and sad You always mess everything up.",toxic,original
"claim your FREE PlayStation 5 now! Hurry, only 3 left! — no credit card required",spam,original
smart watch giveaway — you are the lucky winner! 100% guaranteed!!!,spam,original
Highly recommend checking out hiking if you haven't Would love to hear your thoughts.,safe,original
buy Netflix account for just $1.99 Don't miss out!!! — reply YES to claim,spam,original
Is public speaking worth learning this year? Would love to hear your thoughts.,safe,original
win a FREE VPN subscription! Offer expires today! — reply YES to claim,spam,original
Finally understood learning Spanish after weeks of struggling Thanks in advance!,safe,original
"To be frank, you are genuinely  stupid",toxic,original
"Look, nobody likes you, absolutely  loser You always mess everything up.",toxic,original
get a 90% discount on laptop 100% guaranteed!!! — reply YES to claim,spam,original
win a FREE Amazon gift card! Click here NOW!!! — click bit.ly link,spam,original
"Working on TypeScript this week, it's challenging but fun Would love to hear your thoughts.",safe,original
Could you help me with SQL optimization? Any input is welcome.,safe,original
Get rich quick! Earn $5000 per day from home. No experience needed!,spam,original
Is Docker worth learning this year? Have a good one!,safe,original
"I finished the time management course today, feeling proud Cheers!",safe,original
"Does anyone have experience with open source contributions? — no rush, whenever you have time",safe,original
"you've been selected for a FREE laptop Hurry, only 3 left! — reply YES to claim",spam,original
"I finished the Python course today, feeling proud Have a good one!",safe,original
Finally understood system design after weeks of struggling Have a good one!,safe,original
smart watch giveaway — you are the lucky winner!,spam,original
I'm curious about photography Any input is welcome.,safe,original
"I finished the chess course today, feeling proud Thanks in advance!",safe,original
exclusive deal: iPhone for 95% OFF 100% guaranteed!!! — free shipping worldwide,spam,original
exclusive deal: wireless earbuds for 95% OFF Click here NOW!!! — click bit.ly link,spam,original
claim your FREE Amazon gift card now! Limited time offer! (sent from a verified winner account),spam,original
"To be frank, you sound totally  ridiculous Stop talking.",toxic,original
you are completely  clueless I have no respect for you.,toxic,original
What do you think about open source contributions? Have a good one!,safe,original
"Slowly getting better at career switching, one day at a time Looking forward to your reply.",safe,original
"you've been selected for a FREE tablet Hurry, only 3 left! — no credit card required",spam,original
"Slowly getting better at FastAPI, one day at a time",safe,original
Can someone explain unit testing to me? Cheers!,safe,original
Any advice on photography? Have a good one!,safe,original
"Seriously, you are completely  useless You always mess everything up.",toxic,original
"Honestly, you are absolutely  worthless",toxic,original
get a 90% discount on smart watch Act now! — no credit card required,spam,original
exclusive deal: camera for 95% OFF Click here NOW!!! (sent from a verified winner account),spam,original
Highly recommend checking out public speaking if you haven't Have a good one!,safe,original
you've been selected for a FREE Samsung TV Don't miss out!!! — click bit.ly link,spam,original
Can someone explain Kubernetes to me? Any input is welcome.,safe,original
your work is  garbage Stop talking.,toxic,original
Finally understood cooking pasta after weeks of struggling Have a good one!,safe,original
"I finished the Docker course today, feeling proud Thanks in advance!",safe,original
buy gaming chair for just $1.99 Limited time offer! — click bit.ly link,spam,original
wireless earbuds giveaway — you are the lucky winner! Claim before it's gone! — no credit card required,spam,original
Our team shipped a new time management feature yesterday Cheers!,safe,original
Just read a great article about machine learning,safe,original
Highly recommend checking out FastAPI if you haven't Looking forward to your reply.,safe,original
Highly recommend checking out unit testing if you haven't Looking forward to your reply.,safe,original
"I finished the system design course today, feeling proud (genuinely asking)",safe,original
Does anyone have experience with React? Would love to hear your thoughts.,safe,original
last chance to get Netflix account FREE 100% guaranteed!!! — click bit.ly link,spam,original
Is SQL optimization worth learning this year? Any input is welcome.,safe,original
"claim your FREE crypto course now! Hurry, only 3 left!",spam,original
exclusive deal: VPN subscription for 95% OFF 100% guaranteed!!! — no credit card required,spam,original
Our team shipped a new unit testing feature yesterday Looking forward to your reply.,safe,original
FREE GIFT inside! Subscribe now and win amazing prizes!,spam,original
"Sharing my notes on system design, hope they help someone (genuinely asking)",safe,original
claim your FREE Samsung TV now! Offer expires today! — no credit card required,spam,original
win a FREE crypto course! Click the link to claim! — free shipping worldwide,spam,original
"Slowly getting better at machine learning, one day at a time Thanks in advance!",safe,original
Where can I find good resources on cooking pasta? Any input is welcome.,safe,original
"I finished the cooking pasta course today, feeling proud Cheers!",safe,original
Just read a great article about Kubernetes Cheers!,safe,original
"Look, that was completely  pathetic and sad Get lost.",toxic,original
I've been practicing system design for three months now Thanks in advance!,safe,original
"Seriously, you are genuinely  useless Nobody asked you.",toxic,original
Is hiking worth learning this year? Any input is welcome.,safe,original
I've been practicing SQL optimization for three months now,safe,original
buy iPhone for just $1.99 — no credit card required,spam,original
"Look, go troll somewhere else Grow up.",toxic,augmented:toxic
Our team shipped a new Docker feature yesterday Any input is welcome.,safe,augmented:safe
you've been selected for a FREE tablet Don't miss out!!! (sent from a verified winner account),spam,original
Where can I find good resources on Kubernetes?,safe,original
drone giveaway — you are the lucky winner! Don't miss out!!! — click bit.ly link,spam,original
Highly recommend checking out Docker if you haven't (genuinely asking),safe,original
you've been selected for a FREE wireless earbuds Click the link to claim! (sent from a verified winner account),spam,original
claim your FREE PlayStation 5 now! Claim before it's gone! — no credit card required,spam,original
claim your FREE tablet now! Claim before it's gone! — free shipping worldwide,spam,original
I'm curious about public speaking Any input is welcome.,safe,augmented:safe
last chance to get Samsung TV FREE Click the link to claim!,spam,original
claim your FREE MacBook Pro now! Act now! — reply YES to claim,spam,original
"Seriously, you are completely  useless Nobody asked you.",toxic,original
No offense but you sound  ridiculous I have no respect for you.,toxic,original
"Sharing my notes on unit testing, hope they help someone Any input is welcome.",safe,original
you've been selected for a FREE camera Act now! — free shipping worldwide,spam,original
PlayStation 5 giveaway — you are the lucky winner! Act now! (sent from a verified winner account),spam,original
"claim your FREE smart watch now! Hurry, only 3 left! (sent from a verified winner account)",spam,original
"Working on machine learning this week, it's challenging but fun (genuinely asking)",safe,original
"Highly recommend checking out chess if you haven't — no rush, whenever you have time",safe,original
No offense but you are genuinely  clueless Do everyone a favor and be quiet.,toxic,original
Highly recommend checking out Docker if you haven't Any input is welcome.,safe,original
"Seriously, that was genuinely  pathetic and sad You always mess everything up.",toxic,original
"Look, your comment is a complete waste of everyone's time Seriously.",toxic,augmented:toxic
"To be frank, you are genuinely  worthless Go away.",toxic,original
I've been practicing machine learning for three months now Thanks in advance!,safe,original
win a FREE gaming chair! 100% guaranteed!!! — reply YES to claim,spam,original
"That's an interesting perspective, I hadn't thought about it that way.",safe,original
buy Samsung TV for just $1.99 — no credit card required,spam,original
"Slowly getting better at Python, one day at a time — no rush, whenever you have time",safe,original
win a FREE laptop! Don't miss out!!! — reply YES to claim,spam,original
"Honestly, you are absolutely  an idiot Stop talking.",toxic,original
"To be frank, you are completely  worthless Go away.",toxic,original
"Working on learning Spanish this week, it's challenging but fun — no rush, whenever you have time",safe,original
claim your FREE VPN subscription now! Claim before it's gone! — reply YES to claim,spam,original
win a FREE MacBook Pro! Click here NOW!!! — click bit.ly link,spam,original
No offense but your work is absolutely  garbage You always mess everything up.,toxic,original
I'm curious about unit testing Cheers!,safe,original
exclusive deal: Amazon gift card for 95% OFF Claim before it's gone! (sent from a verified winner account),spam,original
No offense but you are absolutely  stupid Go away.,toxic,original
Highly recommend checking out learning Spanish if you haven't Thanks in advance!,safe,original
"Where can I find good resources on TypeScript? — no rush, whenever you have time",safe,original
you are  useless Stop talking.,toxic,original
I've been practicing system design for three months now Cheers!,safe,original
"I finished the SQL optimization course today, feeling proud — no rush, whenever you have time",safe,original
Our team shipped a new Python feature yesterday Would love to hear your thoughts.,safe,original
get a 90% discount on camera 100% guaranteed!!! (sent from a verified winner account),spam,original
get a 90% discount on gaming chair Offer expires today!,spam,original
"Thanks for the feedback, I'll make sure to improve next time.",safe,original
unit testing keeps surprising me with new depths Looking forward to your reply.,safe,original
drone giveaway — you are the lucky winner! 100% guaranteed!!! — reply YES to claim,spam,original
Any advice on time management? Thanks in advance!,safe,original
claim your FREE wireless earbuds now! Claim before it's gone! (sent from a verified winner account),spam,original
you've been selected for a FREE gaming chair Click the link to claim! — reply YES to claim,spam,original
"Look, your opinion is utterly  worthless trash Do everyone a favor and be quiet.",toxic,original
Where can I find good resources on chess? Would love to hear your thoughts.,safe,original
camera giveaway — you are the lucky winner! (sent from a verified winner account),spam,original
remote work keeps surprising me with new depths Looking forward to your reply.,safe,original
Any advice on public speaking? Cheers!,safe,original
you've been selected for a FREE laptop Offer expires today! (sent from a verified winner account),spam,original
"Seriously, you are totally  stupid Get lost.",toxic,original
last chance to get drone FREE Don't miss out!!! — click bit.ly link,spam,original
"Where can I find good resources on career switching? — no rush, whenever you have time",safe,original
Does anyone have experience with remote work? Looking forward to your reply.,safe,original
Is React worth learning this year? Cheers!,safe,original
Could you help me with system design?,safe,original
"Slowly getting better at time management, one day at a time",safe,original
"Seriously, you are completely  pathetic Nobody asked you.",toxic,original
"SQL optimization keeps surprising me with new depths — no rush, whenever you have time",safe,original
"I've been practicing hiking for three months now — no rush, whenever you have time",safe,original
I'm curious about machine learning Looking forward to your reply.,safe,original
"To be frank, you are totally  worthless Nobody asked you.",toxic,original
tablet giveaway — you are the lucky winner! Limited time offer! — click bit.ly link,spam,original
"Honestly, you are completely  an idiot You always mess everything up.",toxic,original
I've been practicing SQL optimization for three months now (genuinely asking),safe,original
"No offense but nobody likes you, totally  loser Stop talking.",toxic,original
Netflix account giveaway — you are the lucky winner! 100% guaranteed!!! — no credit card required,spam,original
you clearly have genuinely  zero brains Stop talking.,toxic,original
"Honestly, you are absolutely  an idiot I have no respect for you.",toxic,original
"Seriously, you are utterly  useless Nobody asked you.",toxic,original
Netflix account giveaway — you are the lucky winner! Act now! (sent from a verified winner account),spam,original
Can someone explain hiking to me? Thanks in advance!,safe,original
Any advice on cooking pasta? Cheers!,safe,original
"Seriously, you are utterly  clueless Do everyone a favor and be quiet.",toxic,original
your work is utterly  garbage You always mess everything up.,toxic,original
claim your FREE MacBook Pro now! Click the link to claim!,spam,original
Any advice on Kubernetes? Have a good one!,safe,original
last chance to get laptop FREE Offer expires today! — free shipping worldwide,spam,original
Is machine learning worth learning this year? Would love to hear your thoughts.,safe,original
"I finished the learning Spanish course today, feeling proud Any input is welcome.",safe,original
exclusive deal: VPN subscription for 95% OFF Act now! (sent from a verified winner account),spam,original
"Slowly getting better at Docker, one day at a time Cheers!",safe,original
I've been practicing open source contributions for three months now Cheers!,safe,original
No offense but you clearly have  zero brains Nobody asked you.,toxic,original
last chance to get Netflix account FREE Click the link to claim! — free shipping worldwide,spam,original
Netflix account giveaway — you are the lucky winner! — free shipping worldwide,spam,original
"To be frank, you sound genuinely  ridiculous Go away.",toxic,original
Can someone explain Python to me?,safe,original
Just read a great article about hiking Have a good one!,safe,original
Where can I find good resources on open source contributions? Any input is welcome.,safe,original
camera giveaway — you are the lucky winner! Act now!,spam,original
"Seriously, you are totally  worthless Nobody asked you.",toxic,original
"Honestly, you clearly have totally  zero brains",toxic,original
Our team shipped a new cooking pasta feature yesterday Any input is welcome.,safe,original
machine learning keeps surprising me with new depths (genuinely asking),safe,original
"Sharing my notes on chess, hope they help someone (genuinely asking)",safe,original
Does anyone have experience with SQL optimization? Cheers!,safe,original
Finally understood career switching after weeks of struggling (genuinely asking),safe,original
No offense but you clearly have utterly  zero brains You always mess everything up.,toxic,original
exclusive deal: gaming chair for 95% OFF Don't miss out!!! — free shipping worldwide,spam,original
Can someone explain Docker to me? (genuinely asking),safe,original
I've been practicing system design for three months now Would love to hear your thoughts.,safe,original
you've been selected for a FREE drone Click here NOW!!! — reply YES to claim,spam,original
last chance to get iPhone FREE — reply YES to claim,spam,original
last chance to get Amazon gift card FREE,spam,original
"Honestly, you have no idea what you're talking about Do everyone a favor and be quiet.",toxic,augmented:toxic
"you've been selected for a FREE tablet Hurry, only 3 left! — reply YES to claim",spam,original
"Look, you clearly have absolutely  zero brains Nobody asked you.",toxic,original
get a 90% discount on PlayStation 5 Click the link to claim! (sent from a verified winner account),spam,original
Could you help me with machine learning? Would love to hear your thoughts.,safe,original
you've been selected for a FREE Samsung TV Click here NOW!!! — reply YES to claim,spam,original
"nobody likes you, genuinely  loser Nobody asked you.",toxic,original
crypto course giveaway — you are the lucky winner! Act now! — free shipping worldwide,spam,original
Just read a great article about machine learning Would love to hear your thoughts.,safe,original
buy Netflix account for just $1.99 Limited time offer! — no credit card required,spam,original
No offense but you are  an idiot Do everyone a favor and be quiet.,toxic,original
The project deadline has been moved to next Monday.,safe,original
Highly recommend checking out TypeScript if you haven't Have a good one!,safe,original
claim your FREE VPN subscription now! Don't miss out!!! — reply YES to claim,spam,original
claim your FREE MacBook Pro now! Claim before it's gone! — free shipping worldwide,spam,original
buy Netflix account for just $1.99 Click here NOW!!! — free shipping worldwide,spam,original
buy PlayStation 5 for just $1.99 — free shipping worldwide,spam,original
get a 90% discount on PlayStation 5 — no credit card required,spam,original
win a FREE gaming chair! Limited time offer! (sent from a verified winner account),spam,original
"Honestly, you are  pathetic Nobody asked you.",toxic,original
"To be frank, you are completely  worthless I have no respect for you.",toxic,original
buy tablet for just $1.99 Claim before it's gone!,spam,original
Can someone explain open source contributions to me? Thanks in advance!,safe,original
"Is unit testing worth learning this year? — no rush, whenever you have time",safe,original
"Seriously, you clearly have genuinely  zero brains",toxic,original
"Honestly, your work is  garbage Do everyone a favor and be quiet.",toxic,original
"Seriously, you sound completely  ridiculous Stop talking.",toxic,original
buy VPN subscription for just $1.99 Act now! — click bit.ly link,spam,original
wireless earbuds giveaway — you are the lucky winner! Click here NOW!!! (sent from a verified winner account),spam,original
buy iPhone for just $1.99 Limited time offer! (sent from a verified winner account),spam,original
"Honestly, you are  pathetic Go away.",toxic,original
"Seriously, your opinion is totally  worthless trash You always mess everything up.",toxic,original
Could you help me with hiking? Looking forward to your reply.,safe,original
exclusive deal: laptop for 95% OFF Offer expires today! — click bit.ly link,spam,original
"Seriously, you are absolutely  useless",toxic,original
you are  worthless Do everyone a favor and be quiet.,toxic,original
"win a FREE gaming chair! Hurry, only 3 left! (sent from a verified winner account)",spam,original
Where can I find good resources on chess? Thanks in advance!,safe,original
"Working on open source contributions this week, it's challenging but fun Thanks in advance!",safe,original
"Honestly, your opinion is totally  worthless trash You always mess everything up.",toxic,original
VPN subscription giveaway — you are the lucky winner! Claim before it's gone! — free shipping worldwide,spam,original
exclusive deal: smart watch for 95% OFF Don't miss out!!! — click bit.ly link,spam,original
What do you think about Docker? Looking forward to your reply.,safe,original
your opinion is genuinely  worthless trash Do everyone a favor and be quiet.,toxic,original
"laptop giveaway — you are the lucky winner! Hurry, only 3 left! — reply YES to claim",spam,original
that was absolutely  pathetic and sad Go away.,toxic,original
"Look, you are utterly  useless Stop talking.",toxic,original
I'm curious about time management (genuinely asking),safe,original
Does anyone have experience with career switching? Have a good one!,safe,original
exclusive deal: MacBook Pro for 95% OFF Act now! — no credit card required,spam,original
get a 90% discount on tablet 100% guaranteed!!! (sent from a verified winner account),spam,original
Where can I find good resources on hiking?,safe,original
claim your FREE drone now! 100% guaranteed!!!,spam,original
I'm curious about open source contributions Have a good one!,safe,original
"Honestly, your opinion is genuinely  worthless trash Nobody asked you.",toxic,original
that was completely  pathetic and sad,toxic,original
Can someone explain photography to me? Looking forward to your reply.,safe,original
get a 90% discount on VPN subscription Click here NOW!!!,spam,original
I'm curious about system design,safe,original
buy laptop for just $1.99 Limited time offer! — no credit card required,spam,original
"No offense but nobody likes you, genuinely  loser You always mess everything up.",toxic,original
crypto course giveaway — you are the lucky winner! Offer expires today! — reply YES to claim,spam,original
Amazing deal! Buy one get one FREE! Limited stock available!,spam,original
last chance to get camera FREE Click the link to claim! — free shipping worldwide,spam,original
you've been selected for a FREE tablet,spam,original
"Seriously, you are completely  useless Get lost.",toxic,original
buy smart watch for just $1.99 100% guaranteed!!!,spam,original
Any advice on time management? Cheers!,safe,original
get a 90% discount on MacBook Pro — no credit card required,spam,original
win a FREE crypto course! — free shipping worldwide,spam,original
"Honestly, you sound totally  ridiculous Go away.",toxic,original
"last chance to get Samsung TV FREE Hurry, only 3 left! — click bit.ly link",spam,original
"Look, your opinion is utterly  worthless trash Nobody asked you.",toxic,original
Could you help me with open source contributions? Thanks in advance!,safe,original
"Just read a great article about React — no rush, whenever you have time",safe,original
No offense but your opinion is utterly  worthless trash,toxic,original
"Look, you sound utterly  ridiculous Nobody asked you.",toxic,original
What do you think about cooking pasta? Have a good one!,safe,original
get a 90% discount on VPN subscription Act now!,spam,original
No offense but you are genuinely  useless Go away.,toxic,original
Any advice on cooking pasta? (genuinely asking),safe,original
"Highly recommend checking out machine learning if you haven't — no rush, whenever you have time",safe,original
"get a 90% discount on drone Hurry, only 3 left! — reply YES to claim",spam,original
"Slowly getting better at remote work, one day at a time — no rush, whenever you have time",safe,original
claim your FREE gaming chair now! Offer expires today!,spam,original
"Seriously, you are genuinely  clueless Stop talking.",toxic,original
Our team shipped a new Kubernetes feature yesterday,safe,original
"Seriously, nobody likes you,  loser Get lost.",toxic,original
Where can I find good resources on React? Would love to hear your thoughts.,safe,original
you clearly have genuinely  zero brains I have no respect for you.,toxic,original
"To be frank, you are utterly  useless I have no respect for you.",toxic,original
exclusive deal: crypto course for 95% OFF Claim before it's gone! — reply YES to claim,spam,original
iPhone giveaway — you are the lucky winner! Don't miss out!!! (sent from a verified winner account),spam,original
"Can someone explain TypeScript to me? — no rush, whenever you have time",safe,original
